Field_1,incumbent_perc
ALJUNIED,40.05
ANG MO KIO,71.91
BISHAN-TOA PAYOH,67.23
BUKIT BATOK,54.8
BUKIT PANJANG,53.73
CHUA CHU KANG,58.64
EAST COAST,53.39
HOLLAND-BUKIT TIMAH,66.36
HONG KAH NORTH,60.99
HOUGANG,38.79
JALAN BESAR,65.36
JURONG,74.61
KEBUN BARU,62.92
MACPHERSON,71.74
MARINE PARADE,57.74
MARSILING-YEW TEE,63.18
MARYMOUNT,55.04
MOUNTBATTEN,73.82
NEE SOON,61.9
PASIR RIS-PUNGGOL,64.16
PIONEER,62
POTONG PASIR,60.67
PUNGGOL WEST,60.98
RADIN MAS,74.01
SEMBAWANG,67.29
SENGKANG,47.88
TAMPINES,66.41
TANJONG PAGAR,63.1
WEST COAST,51.68
YIO CHU KANG,60.82
YUHUA,70.54
