SUBZONE_N,Field_1,Name
PEOPLE'S PARK,JALAN BESAR,JALAN BESAR
BUKIT MERAH,RADIN MAS,RADIN MAS
BUKIT MERAH,TANJONG PAGAR,TANJONG PAGAR
BUKIT MERAH,WEST COAST,WEST COAST
CHINATOWN,TANJONG PAGAR,TANJONG PAGAR
CHINATOWN,JALAN BESAR,JALAN BESAR
PHILLIP,JALAN BESAR,JALAN BESAR
RAFFLES PLACE,JALAN BESAR,JALAN BESAR
CHINA SQUARE,JALAN BESAR,JALAN BESAR
TIONG BAHRU,TANJONG PAGAR,TANJONG PAGAR
TIONG BAHRU,JALAN BESAR,JALAN BESAR
BAYFRONT SUBZONE,JALAN BESAR,JALAN BESAR
TIONG BAHRU STATION,TANJONG PAGAR,TANJONG PAGAR
CLIFFORD PIER,JALAN BESAR,JALAN BESAR
MARINA SOUTH,JALAN BESAR,JALAN BESAR
PEARL'S HILL,JALAN BESAR,JALAN BESAR
BOAT QUAY,JALAN BESAR,JALAN BESAR
HENDERSON HILL,RADIN MAS,RADIN MAS
HENDERSON HILL,TANJONG PAGAR,TANJONG PAGAR
REDHILL,RADIN MAS,RADIN MAS
REDHILL,TANJONG PAGAR,TANJONG PAGAR
ALEXANDRA HILL,RADIN MAS,RADIN MAS
ALEXANDRA HILL,TANJONG PAGAR,TANJONG PAGAR
ALEXANDRA HILL,WEST COAST,WEST COAST
BUKIT HO SWEE,TANJONG PAGAR,TANJONG PAGAR
BUKIT HO SWEE,JALAN BESAR,JALAN BESAR
CLARKE QUAY,TANJONG PAGAR,TANJONG PAGAR
CLARKE QUAY,JALAN BESAR,JALAN BESAR
TELOK BLANGAH RISE,RADIN MAS,RADIN MAS
TANJONG PAGAR,JALAN BESAR,JALAN BESAR
EVERTON PARK,TANJONG PAGAR,TANJONG PAGAR
TELOK BLANGAH WAY,RADIN MAS,RADIN MAS
MAXWELL,JALAN BESAR,JALAN BESAR
CECIL,JALAN BESAR,JALAN BESAR
KAMPONG TIONG BAHRU,RADIN MAS,RADIN MAS
KAMPONG TIONG BAHRU,TANJONG PAGAR,TANJONG PAGAR
TELOK BLANGAH DRIVE,WEST COAST,WEST COAST
PASIR PANJANG 2,WEST COAST,WEST COAST
PASIR PANJANG 1,WEST COAST,WEST COAST
QUEENSWAY,TANJONG PAGAR,TANJONG PAGAR
QUEENSWAY,WEST COAST,WEST COAST
KENT RIDGE,WEST COAST,WEST COAST
ALEXANDRA NORTH,TANJONG PAGAR,TANJONG PAGAR
MARINA EAST,MOUNTBATTEN,MOUNTBATTEN
MARINA EAST,JALAN BESAR,JALAN BESAR
INSTITUTION HILL,TANJONG PAGAR,TANJONG PAGAR
ROBERTSON QUAY,TANJONG PAGAR,TANJONG PAGAR
ROBERTSON QUAY,JALAN BESAR,JALAN BESAR
JURONG ISLAND AND BUKOM,WEST COAST,WEST COAST
SUDONG,WEST COAST,WEST COAST
SEMAKAU,WEST COAST,WEST COAST
SOUTHERN GROUP,WEST COAST,WEST COAST
SENTOSA,WEST COAST,WEST COAST
CITY TERMINALS,TANJONG PAGAR,TANJONG PAGAR
CITY TERMINALS,JALAN BESAR,JALAN BESAR
CITY TERMINALS,WEST COAST,WEST COAST
ANSON,TANJONG PAGAR,TANJONG PAGAR
ANSON,JALAN BESAR,JALAN BESAR
STRAITS VIEW,JALAN BESAR,JALAN BESAR
MARITIME SQUARE,RADIN MAS,RADIN MAS
MARITIME SQUARE,TANJONG PAGAR,TANJONG PAGAR
MARITIME SQUARE,WEST COAST,WEST COAST
CENTRAL SUBZONE,JALAN BESAR,JALAN BESAR
SINGAPORE GENERAL HOSPITAL,TANJONG PAGAR,TANJONG PAGAR
SINGAPORE GENERAL HOSPITAL,JALAN BESAR,JALAN BESAR
DEPOT ROAD,WEST COAST,WEST COAST
EAST COAST,MOUNTBATTEN,MOUNTBATTEN
EAST COAST,MARINE PARADE,MARINE PARADE
NATIONAL UNIVERSITY OF S'PORE,WEST COAST,WEST COAST
ONE TREE HILL,TANJONG PAGAR,TANJONG PAGAR
ROCHOR CANAL,JALAN BESAR,JALAN BESAR
CRAWFORD,JALAN BESAR,JALAN BESAR
MARGARET DRIVE,TANJONG PAGAR,TANJONG PAGAR
TANGLIN,TANJONG PAGAR,TANJONG PAGAR
MARINE PARADE,MOUNTBATTEN,MOUNTBATTEN
MARINE PARADE,MARINE PARADE,MARINE PARADE
TANGLIN HALT,TANJONG PAGAR,TANJONG PAGAR
TANGLIN HALT,WEST COAST,WEST COAST
MACKENZIE,TANJONG PAGAR,TANJONG PAGAR
SUNGEI ROAD,JALAN BESAR,JALAN BESAR
ONE NORTH,TANJONG PAGAR,TANJONG PAGAR
ONE NORTH,WEST COAST,WEST COAST
