SUBZONE_N,ED_DESC_FU,Name
PEOPLE'S PARK,JALAN BESAR GRC,JALAN BESAR
BUKIT MERAH,QUEENSTOWN SMC,QUEENSTOWN
BUKIT MERAH,TANJONG PAGAR GRC,TANJONG PAGAR
BUKIT MERAH,RADIN MAS SMC,RADIN MAS
CHINATOWN,TANJONG PAGAR GRC,TANJONG PAGAR
CHINATOWN,JALAN BESAR GRC,JALAN BESAR
PHILLIP,JALAN BESAR GRC,JALAN BESAR
RAFFLES PLACE,JALAN BESAR GRC,JALAN BESAR
CHINA SQUARE,JALAN BESAR GRC,JALAN BESAR
TIONG BAHRU,TANJONG PAGAR GRC,TANJONG PAGAR
TIONG BAHRU,JALAN BESAR GRC,JALAN BESAR
BAYFRONT SUBZONE,JALAN BESAR GRC,JALAN BESAR
TIONG BAHRU STATION,TANJONG PAGAR GRC,TANJONG PAGAR
CLIFFORD PIER,JALAN BESAR GRC,JALAN BESAR
MARINA SOUTH,JALAN BESAR GRC,JALAN BESAR
PEARL'S HILL,JALAN BESAR GRC,JALAN BESAR
BOAT QUAY,JALAN BESAR GRC,JALAN BESAR
HENDERSON HILL,TANJONG PAGAR GRC,TANJONG PAGAR
HENDERSON HILL,RADIN MAS SMC,RADIN MAS
REDHILL,TANJONG PAGAR GRC,TANJONG PAGAR
REDHILL,RADIN MAS SMC,RADIN MAS
ALEXANDRA HILL,QUEENSTOWN SMC,QUEENSTOWN
ALEXANDRA HILL,TANJONG PAGAR GRC,TANJONG PAGAR
ALEXANDRA HILL,RADIN MAS SMC,RADIN MAS
BUKIT HO SWEE,TANJONG PAGAR GRC,TANJONG PAGAR
BUKIT HO SWEE,JALAN BESAR GRC,JALAN BESAR
CLARKE QUAY,TANJONG PAGAR GRC,TANJONG PAGAR
CLARKE QUAY,JALAN BESAR GRC,JALAN BESAR
TELOK BLANGAH RISE,RADIN MAS SMC,RADIN MAS
TANJONG PAGAR,JALAN BESAR GRC,JALAN BESAR
EVERTON PARK,TANJONG PAGAR GRC,TANJONG PAGAR
TELOK BLANGAH WAY,RADIN MAS SMC,RADIN MAS
MAXWELL,JALAN BESAR GRC,JALAN BESAR
CECIL,JALAN BESAR GRC,JALAN BESAR
KAMPONG TIONG BAHRU,TANJONG PAGAR GRC,TANJONG PAGAR
KAMPONG TIONG BAHRU,RADIN MAS SMC,RADIN MAS
TELOK BLANGAH DRIVE,TANJONG PAGAR GRC,TANJONG PAGAR
PASIR PANJANG 2,TANJONG PAGAR GRC,TANJONG PAGAR
PASIR PANJANG 1,WEST COAST-JURONG WEST GRC,WEST COAST-JURONG WEST
QUEENSWAY,QUEENSTOWN SMC,QUEENSTOWN
QUEENSWAY,TANJONG PAGAR GRC,TANJONG PAGAR
KENT RIDGE,WEST COAST-JURONG WEST GRC,WEST COAST-JURONG WEST
KENT RIDGE,TANJONG PAGAR GRC,TANJONG PAGAR
ALEXANDRA NORTH,TANJONG PAGAR GRC,TANJONG PAGAR
MARINA EAST,JALAN BESAR GRC,JALAN BESAR
MARINA EAST,MOUNTBATTEN SMC,MOUNTBATTEN
INSTITUTION HILL,TANJONG PAGAR GRC,TANJONG PAGAR
ROBERTSON QUAY,TANJONG PAGAR GRC,TANJONG PAGAR
ROBERTSON QUAY,JALAN BESAR GRC,JALAN BESAR
JURONG ISLAND AND BUKOM,WEST COAST-JURONG WEST GRC,WEST COAST-JURONG WEST
SUDONG,WEST COAST-JURONG WEST GRC,WEST COAST-JURONG WEST
SEMAKAU,WEST COAST-JURONG WEST GRC,WEST COAST-JURONG WEST
SOUTHERN GROUP,RADIN MAS SMC,RADIN MAS
SENTOSA,RADIN MAS SMC,RADIN MAS
CITY TERMINALS,TANJONG PAGAR GRC,TANJONG PAGAR
CITY TERMINALS,RADIN MAS SMC,RADIN MAS
CITY TERMINALS,JALAN BESAR GRC,JALAN BESAR
ANSON,TANJONG PAGAR GRC,TANJONG PAGAR
ANSON,JALAN BESAR GRC,JALAN BESAR
STRAITS VIEW,JALAN BESAR GRC,JALAN BESAR
